¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
º(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.44828
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.29342
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.68737
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.41061
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.548575
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.818674
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.113457
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.436394
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.763878
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.155149
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.598726
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.095206
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.65435
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96119
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73679
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65908
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.72983
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.95897
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.51921
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.37911
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.82914
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.55499
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.557624
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.828534
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.124241
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.448235
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.780176
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.173582
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.619301
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.118314
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.679607
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.99864
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77987
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70012
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.77792
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.0162
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.59026
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.46526
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.97197
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.70338
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.566663
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.838383
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.135014
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.460064
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.796624
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.192008
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.639874
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.141427
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34938
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.03621
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82312
Ä(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74104
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.82609
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.07359
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.60221
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.55183
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.11569
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.85581
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.575687
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.848219
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.145775
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.471882
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.813219
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.210424
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.660442
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.164541
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38239
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07386
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.86648
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78402
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.8744
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.13115
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.59321
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.63879
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.26034
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.90676
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.584698
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.858043
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.156519
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.483686
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.82996
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.228827
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.681002
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.7838
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41467
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11162
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.90998
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.83467
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.92281
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.18887
(345.91, 6.68, 386.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.58389
