¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(337.58, 7.24, 384.62) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.99825
(337.58, 7.24, 384.62) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.84431
(337.58, 7.24, 384.62) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.09942
(337.58, 7.24, 384.62) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.80265
(337.58, 7.24, 384.62) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.15827
(337.58, 7.24, 384.62) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.88176
(337.58, 7.24, 384.62) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.8768
(337.58, 7.24, 384.62) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.87411
(337.58, 7.24, 384.62) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.87372
(337.58, 7.24, 384.62) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.87947
(337.58, 7.24, 384.62) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.88851
(337.58, 7.24, 384.62) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.89987
(337.58, 7.24, 384.62) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.9138
(337.58, 7.24, 384.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.598275
(337.58, 7.24, 384.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.809772
(337.58, 7.24, 384.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.039099
(337.58, 7.24, 384.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.288548
(337.58, 7.24, 384.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.560831
(337.58, 7.24, 384.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.859154
(337.58, 7.24, 384.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.187369
(337.58, 7.24, 384.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.550119
(337.58, 7.24, 384.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.518639
(337.58, 7.24, 384.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.015373
(337.58, 7.24, 384.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.575586
(337.58, 7.24, 384.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35584
(337.58, 7.24, 384.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52845
(337.58, 7.24, 384.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10511
(337.58, 7.24, 384.62) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.39919
(337.58, 7.24, 384.62) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.25998
(337.58, 7.24, 384.62) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.99722
(337.58, 7.24, 384.62) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.00049
(337.58, 7.24, 384.62) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.93954
(337.58, 7.24, 384.62) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.02679
(337.58, 7.24, 384.62) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.15323
(337.58, 7.24, 384.62) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.03584
(337.58, 7.24, 384.62) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.03317
