¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ö(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.80353
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.275116
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.797596
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25172
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38501
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54978
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72198
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90203
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09048
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28778
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61282
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44239
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.3627
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.6643
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.23749
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.36504
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.69232
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.594205
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.95465
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.35276
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.794585
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.266529
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.787983
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27601
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43544
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60199
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7761
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95816
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14874
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34829
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77436
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58385
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.51805
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.852
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.45777
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.54796
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.23999
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.587409
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.947164
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.344452
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.785303
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.257703
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.778061
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29906
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48771
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65615
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83224
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01642
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20919
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41112
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.94086
ó(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69098
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.67737
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.99739
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.68398
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.87431
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.81744
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.580388
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.939417
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.335863
(335.27, 7.39, 346.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.775768
