¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
À(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.38929
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.15576
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.99679
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.75578
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.8896
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.42871
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.06471
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.29939
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.735616
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.018578
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.327793
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.667105
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.041032
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.432984
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.877832
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.374158
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.844354
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35382
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95232
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.01772
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.67399
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.38999
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.15305
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.03614
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.79345
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.81118
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.38089
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.95965
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.86382
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.716591
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.997787
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.305069
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.642098
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.013416
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.410449
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.852755
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.346087
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.827427
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.33821
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.82395
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.97459
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.64364
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.39135
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.16072
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.0475
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.83896
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.73996
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.28981
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.85847
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.10769
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.279682
¾(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.97709
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.28238
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.617201
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.985929
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.38798
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.827785
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.318177
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.810875
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32285
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.65491
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.95436
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.62082
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.39336
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.16921
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.04113
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.8862
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.75318
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.19885
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.76104
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.6074
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.261945
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.95646
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.259828
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.592402
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.95853
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.363489
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.8029
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.290349
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.794634
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30777
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.49794
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.9346
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.59853
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.39604
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.17854
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.03559
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.93521
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.79918
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.10987
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.66725
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.50486
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.244268
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.50312
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.237327
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.5677
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.931269
(337.40, 7.67, 341.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.333258
