¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
” (340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.00576
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.77409
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.6727
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.73755
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.32267
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.03461
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.67382
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.78609
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.369626
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.03829
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.81199
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.71739
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.79101
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.42587
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.22748
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.59311
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.809977
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.396935
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.06979
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.84871
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.76072
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.84287
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.52448
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.4155
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.833043
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.423312
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.10023
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.88421
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.80263
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.89308
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.6176
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.59529
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.855268
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.448735
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.12958
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.91846
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.84309
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.94157
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.70705
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.76705
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.876629
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.473183
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.15782
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.95142
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.88205
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.9883
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.79265
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.93255
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.897114
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.496631
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.18491
¢ (340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.98307
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.91947
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.03322
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.87424
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.0913
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.916703
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.519066
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.21084
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.01336
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.95532
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.07627
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.97266
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.26455
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.926173
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.540462
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.23559
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.04228
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.98956
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.1174
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.07704
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.4497
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.944759
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.560803
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.25912
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.0698
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.02214
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.15658
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.17526
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.59686
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.96243
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.567306
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.28141
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.09588
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.05304
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.19374
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.26701
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.73346
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.979172
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.586478
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.30245
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.1205
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.08222
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.22886
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.35202
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.85898
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.994969
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.60458
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.30498
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.14363
(340.72, 7.24, 311.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.10966
