¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
»(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.679425
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.831466
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.994723
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.171789
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.389502
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.627494
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.857301
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.098168
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.388714
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.72063
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.061546
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.448919
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.897221
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.37096
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.987482
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.658779
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.50915
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55305
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.20109
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.85495
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.7775
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.19291
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.13719
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.664711
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.815703
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.977799
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.154616
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.370776
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.606995
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.830825
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.069371
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.357969
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.686505
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.0206
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.403875
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.846475
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.311275
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.918563
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.5716
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.40583
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.40145
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.98566
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.67087
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.70235
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.07973
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.22227
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.650237
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.800201
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.961159
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.137638
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.352263
¶(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.586742
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.804836
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.041113
(393.04, 12.21, 327.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.327692
