¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(424.01, 14.25, 323.10) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 17.67143
(424.01, 14.25, 323.10) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 17.64641
(424.01, 14.25, 323.10) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 24.44075
(424.01, 14.25, 323.10) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 24.48699
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.155373
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.417418
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.70329
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.022474
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.375081
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.761336
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.189294
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.668984
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.210279
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49435
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21423
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05354
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05013
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.24084
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.62052
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.23285
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.14045
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.34863
