¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¹(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.027494
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.317713
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.634454
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.981513
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.363336
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.785295
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.253994
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.676781
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10996
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58584
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34346
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.26719
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.23498
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.08856
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.84701
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.42305
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.04886
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.637
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.24418
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.60204
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.96623
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.34943
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.75308
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.19404
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.67048
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.268897
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.500091
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.749077
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.014889
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.303953
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.619459
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.965014
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.345149
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.765173
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.231606
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.627611
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0561
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52669
(427.50, 14.31, 322.05) (428.60, 8.13, 301.64) (0.88, 1.64, 0.98) Tools 10.03935
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05044
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.98249
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.94675
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.67267
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.23473
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.84478
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.49393
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.068
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.40671
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.76268
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.1371
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.53137
½(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.94689
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.39655
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.260315
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.490854
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.73759
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.002442
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.29041
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.604617
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.948798
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.327279
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.745346
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.191774
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.579517
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0035
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46891
(427.50, 14.31, 322.05) (428.60, 8.13, 301.64) (0.88, 1.64, 0.98) Tools 9.964299
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84162
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.78876
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.50433
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.05305
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.64812
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.29545
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.88743
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.21882
(427.50, 14.31, 322.05) (428.60, 8.13, 301.64) (0.88, 1.64, 0.98) Tools 10.08771
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.93303
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.31884
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.73125
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.16653
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.251881
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.48173
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.726284
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.990149
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.277034
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.590024
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.932755
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.309611
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.725843
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.14864
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.532557
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.952158
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41253
(427.50, 14.31, 322.05) (428.60, 8.13, 301.64) (0.88, 1.64, 0.98) Tools 9.891823
(427.50, 14.31, 322.05) (428.60, 8.13, 301.64) (0.88, 1.64, 0.98) Tools 10.07103
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.50696
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.51569
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.34174
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.89956
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.51143
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.17901
Ğ(427.50, 14.31, 322.05) (428.60, 8.13, 301.64) (0.88, 1.64, 0.98) Tools 10.16114
(427.50, 14.31, 322.05) (428.60, 8.13, 301.64) (0.88, 1.64, 0.98) Tools 10.23629
(427.50, 14.31, 322.05) (428.60, 8.13, 301.64) (0.88, 1.64, 0.98) Tools 9.987347
(427.50, 14.31, 322.05) (428.60, 8.13, 301.64) (0.88, 1.64, 0.98) Tools 10.08118
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.1818
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.58801
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.01661
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.24353
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.472548
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.715137
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.978064
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.263878
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.575634
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.916998
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.292241
(427.50, 14.31, 322.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.706613
