¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ï(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.308857
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.568955
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.852809
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.154296
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.484844
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.848976
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.252045
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.696529
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.144581
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.647203
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21035
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 10.11112
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 10.08781
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 10.06657
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 10.04737
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 10.60742
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.08513
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.51982
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.84853
