¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
  (435.63, 13.88, 289.38) (446.40, 8.97, 271.73) (4.23, 3.18, 8.46) Truck 4.025434
(435.63, 13.88, 289.38) (446.40, 8.97, 271.73) (4.23, 3.18, 8.46) Truck 4.016208
(435.63, 13.88, 289.38) (446.40, 8.97, 271.73) (4.23, 3.18, 8.46) Truck 4.040121
(435.63, 13.88, 289.38) (446.40, 8.97, 271.73) (4.23, 3.18, 8.46) Truck 4.089616
(435.63, 13.88, 289.38) (446.40, 8.97, 271.73) (4.23, 3.18, 8.46) Truck 3.94966
(435.63, 13.88, 289.38) (446.40, 8.97, 271.73) (4.23, 3.18, 8.46) Truck 3.943739
(435.63, 13.88, 289.38) (446.40, 8.97, 271.73) (4.23, 3.18, 8.46) Truck 3.938603
(435.63, 13.88, 289.38) (446.40, 8.97, 271.73) (4.23, 3.18, 8.46) Truck 3.934246
(435.63, 13.88, 289.38) (446.40, 8.97, 271.73) (4.23, 3.18, 8.46) Truck 3.930664
(435.63, 13.88, 289.38) (446.40, 8.97, 271.73) (4.23, 3.18, 8.46) Truck 3.927853
(435.63, 13.88, 289.38) (446.40, 8.97, 271.73) (4.23, 3.18, 8.46) Truck 3.925811
(435.63, 13.88, 289.38) (446.40, 8.97, 271.73) (4.23, 3.18, 8.46) Truck 3.924537
(435.63, 13.88, 289.38) (446.40, 8.97, 271.73) (4.23, 3.18, 8.46) Truck 3.924027
(435.63, 13.88, 289.38) (446.40, 8.97, 271.73) (4.23, 3.18, 8.46) Truck 3.924283
(435.63, 13.88, 289.38) (446.40, 8.97, 271.73) (4.23, 3.18, 8.46) Truck 3.925304
(435.63, 13.88, 289.38) (446.40, 8.97, 271.73) (4.23, 3.18, 8.46) Truck 3.927092
(435.63, 13.88, 289.38) (446.40, 8.97, 271.73) (4.23, 3.18, 8.46) Truck 3.929647
(435.63, 13.88, 289.38) (446.40, 8.97, 271.73) (4.23, 3.18, 8.46) Truck 3.932973
(435.63, 13.88, 289.38) (446.40, 8.97, 271.73) (4.23, 3.18, 8.46) Truck 3.937074
(435.63, 13.88, 289.38) (446.40, 8.97, 271.73) (4.23, 3.18, 8.46) Truck 4.149436
(435.63, 13.88, 289.38) (446.40, 8.97, 271.73) (4.23, 3.18, 8.46) Truck 4.132275
(435.63, 13.88, 289.38) (446.40, 8.97, 271.73) (4.23, 3.18, 8.46) Truck 4.116055
(435.63, 13.88, 289.38) (446.40, 8.97, 271.73) (4.23, 3.18, 8.46) Truck 4.100759
(435.63, 13.88, 289.38) (446.40, 8.97, 271.73) (4.23, 3.18, 8.46) Truck 4.086369
(435.63, 13.88, 289.38) (446.40, 8.97, 271.73) (4.23, 3.18, 8.46) Truck 4.072871
(435.63, 13.88, 289.38) (446.40, 8.97, 271.73) (4.23, 3.18, 8.46) Truck 4.060251
