¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ó(427.30, 14.97, 246.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.764807
(427.30, 14.97, 246.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.051188
(427.30, 14.97, 246.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.364411
(427.30, 14.97, 246.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.70832
(427.30, 14.97, 246.75) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 7.910314
(427.30, 14.97, 246.75) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 7.880333
(427.30, 14.97, 246.75) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 7.852103
(427.30, 14.97, 246.75) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 7.825595
(427.30, 14.97, 246.75) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 7.80078
(427.30, 14.97, 246.75) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 7.777635
(427.30, 14.97, 246.75) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 7.756133
(427.30, 14.97, 246.75) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 7.736254
(427.30, 14.97, 246.75) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 7.717979
(427.30, 14.97, 246.75) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 7.701286
(427.30, 14.97, 246.75) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 7.686161
(427.30, 14.97, 246.75) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 7.672588
(427.30, 14.97, 246.75) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 7.660554
(427.30, 14.97, 246.75) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 8.491911
(427.30, 14.97, 246.75) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 9.57206
(427.30, 14.97, 246.75) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 12.37591
(427.30, 14.97, 246.75) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 24.32893
(427.30, 14.97, 246.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.497831
(427.30, 14.97, 246.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.767583
(427.30, 14.97, 246.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.054272
(427.30, 14.97, 246.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.367771
(427.30, 14.97, 246.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.712022
(427.30, 14.97, 246.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.091641
(427.30, 14.97, 246.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.488645
(427.30, 14.97, 246.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.955585
(427.30, 14.97, 246.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.474106
(427.30, 14.97, 246.75) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 9.797134
(427.30, 14.97, 246.75) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 7.784193
(427.30, 14.97, 246.75) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 7.762674
(427.30, 14.97, 246.75) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 7.742779
