¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ı(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.321876
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.30897
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.314335
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.955389
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.743001
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.41145
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.48768
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.43836
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.42166
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.40896
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.40025
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.39553
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.39478
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.398
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.41068
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.463063
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.695048
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.657181
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.621024
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.586535
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.553674
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.522406
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.492693
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.464505
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.43781
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.412579
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.388786
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.366405
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.345414
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.32579
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.334603
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.980037
(424.11, 14.92, 246.36) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.773607
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.2829
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.27896
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.90023
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.29905
(424.11, 14.92, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.28642
