¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
÷(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.94355
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.70201
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.82729
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.2059
(420.53, 14.88, 246.66) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 22.08565
(420.53, 14.88, 246.66) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 22.06029
(420.53, 14.88, 246.66) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 22.03929
(420.53, 14.88, 246.66) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 22.02262
(420.53, 14.88, 246.66) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 22.01025
(420.53, 14.88, 246.66) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 22.0022
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.261828
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.451785
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.653727
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.872393
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.111569
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.373056
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.656047
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.966758
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.311311
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.69818
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.134186
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.629794
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.188161
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.816934
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.5194
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.3614
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.20477
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.43204
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.91418
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.65083
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.8113
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.44766
(420.53, 14.88, 246.66) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 22.07984
(420.53, 14.88, 246.66) (388.38, 7.52, 247.74) (1.18, 1.64, 1.16) Tools 15.83451
(420.53, 14.88, 246.66) (388.38, 7.52, 247.74) (1.18, 1.64, 1.16) Tools 15.8154
(420.53, 14.88, 246.66) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 22.01683
(420.53, 14.88, 246.66) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 22.00448
(420.53, 14.88, 246.66) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 21.99642
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.258075
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.447043
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.648604
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.866842
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.105938
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.366619
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.648998
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.959007
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.303233
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.689806
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.124807
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.619925
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.176944
ƒ(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.801389
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.50152
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.3439
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18531
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.40871
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.88582
(420.53, 14.88, 246.66) (388.38, 7.52, 247.74) (1.18, 1.64, 1.16) Tools 16.19628
(420.53, 14.88, 246.66) (388.38, 7.52, 247.74) (1.18, 1.64, 1.16) Tools 16.18256
(420.53, 14.88, 246.66) (388.38, 7.52, 247.74) (1.18, 1.64, 1.16) Tools 16.15361
(420.53, 14.88, 246.66) (388.38, 7.52, 247.74) (1.18, 1.64, 1.16) Tools 16.1279
(420.53, 14.88, 246.66) (388.38, 7.52, 247.74) (1.18, 1.64, 1.16) Tools 16.12198
(420.53, 14.88, 246.66) (388.38, 7.52, 247.74) (1.18, 1.64, 1.16) Tools 15.75053
(420.53, 14.88, 246.66) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 22.01534
(420.53, 14.88, 246.66) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 22.00299
(420.53, 14.88, 246.66) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 21.99494
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.254398
(420.53, 14.88, 246.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.442418
