¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ê(404.47, 14.12, 246.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.025536
(404.47, 14.12, 246.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.327876
(404.47, 14.12, 246.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.658987
(404.47, 14.12, 246.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.023054
(404.47, 14.12, 246.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.425192
(404.47, 14.12, 246.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.871592
(404.47, 14.12, 246.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.369873
(404.47, 14.12, 246.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.929499
(404.47, 14.12, 246.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56239
(404.47, 14.12, 246.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20047
(404.47, 14.12, 246.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05483
(404.47, 14.12, 246.68) (379.09, 7.94, 255.06) (0.81, 2.16, 0.81) Human 10.44829
(404.47, 14.12, 246.68) (379.09, 7.94, 255.06) (0.81, 2.16, 0.81) Human 10.42669
(404.47, 14.12, 246.68) (379.09, 7.94, 255.06) (0.81, 2.16, 0.81) Human 10.40707
(404.47, 14.12, 246.68) (379.09, 7.94, 255.06) (0.81, 2.16, 0.81) Human 10.38961
(404.47, 14.12, 246.68) (379.09, 7.94, 255.06) (0.81, 2.16, 0.81) Human 10.37439
(404.47, 14.12, 246.68) (379.09, 7.94, 255.06) (0.81, 2.16, 0.81) Human 10.36117
(404.47, 14.12, 246.68) (379.09, 7.94, 255.06) (0.81, 2.16, 0.81) Human 10.34977
(404.47, 14.12, 246.68) (379.09, 7.94, 255.06) (0.81, 2.16, 0.81) Human 10.34073
(404.47, 14.12, 246.68) (379.09, 7.94, 255.06) (0.81, 2.16, 0.81) Human 10.33366
(404.47, 14.12, 246.68) (379.09, 7.94, 255.06) (0.81, 2.16, 0.81) Human 10.33038
(404.47, 14.12, 246.68) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 14.92302
(404.47, 14.12, 246.68) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 14.92993
(404.47, 14.12, 246.68) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 14.93976
(404.47, 14.12, 246.68) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 14.95252
(404.47, 14.12, 246.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.241596
(404.47, 14.12, 246.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.484988
(404.47, 14.12, 246.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.746639
(404.47, 14.12, 246.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.023615
(404.47, 14.12, 246.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.325761
(404.47, 14.12, 246.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.656672
