¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
† (392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.289144
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.678057
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.112489
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.596869
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.238086
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.22612
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.215599
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.206512
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.937817
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.922964
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.909519
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.897469
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.886801
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.443668
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.745959
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.739498
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.73436
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.730543
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.72804
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.72685
