¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ò(385.88, 13.78, 256.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.823408
(385.88, 13.78, 256.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.158584
(385.88, 13.78, 256.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.539742
(385.88, 13.78, 256.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.959333
(385.88, 13.78, 256.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.446416
(385.88, 13.78, 256.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.010504
(385.88, 13.78, 256.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.696767
(385.88, 13.78, 256.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35849
(385.88, 13.78, 256.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.42071
(385.88, 13.78, 256.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.80299
(385.88, 13.78, 256.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.75586
(385.88, 13.78, 256.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.98211
(385.88, 13.78, 256.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.8682
(385.88, 13.78, 256.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.152131
(385.88, 13.78, 256.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.334209
(385.88, 13.78, 256.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.528539
(385.88, 13.78, 256.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.743061
(385.88, 13.78, 256.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.977628
(385.88, 13.78, 256.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.233933
(385.88, 13.78, 256.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.517663
(385.88, 13.78, 256.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.819995
(385.88, 13.78, 256.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.153203
(385.88, 13.78, 256.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.53417
(385.88, 13.78, 256.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.953106
(385.88, 13.78, 256.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.436815
(385.88, 13.78, 256.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.99955
(385.88, 13.78, 256.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.68096
(385.88, 13.78, 256.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.33556
(385.88, 13.78, 256.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39695
(385.88, 13.78, 256.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.75627
(385.88, 13.78, 256.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.6629
