¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ô(382.51, 13.75, 259.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.702877
(382.51, 13.75, 259.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.318059
(382.51, 13.75, 259.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.07095
(382.51, 13.75, 259.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.99328
(382.51, 13.75, 259.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.20362
(382.51, 13.75, 259.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.89583
(382.51, 13.75, 259.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.89964
(382.51, 13.75, 259.71) (382.26, 8.81, 300.12) (0.81, 2.16, 0.81) Human 24.20636
(382.51, 13.75, 259.71) (382.26, 8.81, 300.12) (0.81, 2.16, 0.81) Human 24.16869
(382.51, 13.75, 259.71) (382.26, 8.81, 300.12) (0.81, 2.16, 0.81) Human 24.14246
(382.51, 13.75, 259.71) (382.26, 8.81, 300.12) (0.81, 2.16, 0.81) Human 24.12113
(382.51, 13.75, 259.71) (382.26, 8.81, 300.12) (0.81, 2.16, 0.81) Human 24.10474
(382.51, 13.75, 259.71) (382.26, 8.81, 300.12) (0.81, 2.16, 0.81) Human 24.26826
(382.51, 13.75, 259.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.33694
(382.51, 13.75, 259.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.623941
(382.51, 13.75, 259.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.939532
(382.51, 13.75, 259.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.29765
(382.51, 13.75, 259.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.705632
(382.51, 13.75, 259.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.163117
(382.51, 13.75, 259.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.696745
(382.51, 13.75, 259.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.309624
(382.51, 13.75, 259.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.06102
(382.51, 13.75, 259.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.98247
(382.51, 13.75, 259.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.17595
(382.51, 13.75, 259.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.8513
(382.51, 13.75, 259.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.73526
(382.51, 13.75, 259.71) (382.26, 8.81, 300.12) (0.81, 2.16, 0.81) Human 24.08464
(382.51, 13.75, 259.71) (382.26, 8.81, 300.12) (0.81, 2.16, 0.81) Human 24.05534
(382.51, 13.75, 259.71) (382.26, 8.81, 300.12) (0.81, 2.16, 0.81) Human 24.03466
(382.51, 13.75, 259.71) (382.26, 8.81, 300.12) (0.81, 2.16, 0.81) Human 24.01882
(382.51, 13.75, 259.71) (382.26, 8.81, 300.12) (0.81, 2.16, 0.81) Human 24.00764
(382.51, 13.75, 259.71) (382.26, 8.81, 300.12) (0.81, 2.16, 0.81) Human 24.10977
(382.51, 13.75, 259.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.334594
(382.51, 13.75, 259.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.621365
(382.51, 13.75, 259.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.936691
(382.51, 13.75, 259.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.293658
(382.51, 13.75, 259.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.701163
(382.51, 13.75, 259.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.157597
(382.51, 13.75, 259.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.690189
(382.51, 13.75, 259.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.300602
(382.51, 13.75, 259.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.05025
(382.51, 13.75, 259.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.97074
(382.51, 13.75, 259.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.14622
(382.51, 13.75, 259.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.80415
(382.51, 13.75, 259.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.47836
