¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Å(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.873703
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.96373
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.9807
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.09473
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.40513
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.7215
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.32481
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.14383
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.11186
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.08296
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.05709
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.73489
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.75497
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.77818
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.80454
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.83408
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.8622
(379.45, 15.00, 271.67) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.59962
