¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
°(379.43, 15.85, 278.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89056
(379.43, 15.85, 278.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51174
(379.43, 15.85, 278.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.21174
(379.43, 15.85, 278.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95228
(379.43, 15.85, 278.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.77101
(379.43, 15.85, 278.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.70637
(379.43, 15.85, 278.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.78892
(379.43, 15.85, 278.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.10319
(379.43, 15.85, 278.93) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.54346
(379.43, 15.85, 278.93) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.52186
(379.43, 15.85, 278.93) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.50238
(379.43, 15.85, 278.93) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.48502
(379.43, 15.85, 278.93) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.46976
(379.43, 15.85, 278.93) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.314586
(379.43, 15.85, 278.93) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.384701
(379.43, 15.85, 278.93) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.785159
(379.43, 15.85, 278.93) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.782399
(379.43, 15.85, 278.93) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.781548
(379.43, 15.85, 278.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.442378
(379.43, 15.85, 278.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.752871
(379.43, 15.85, 278.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.092046
(379.43, 15.85, 278.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.463981
(379.43, 15.85, 278.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.895197
(379.43, 15.85, 278.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.342538
(379.43, 15.85, 278.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.839274
(379.43, 15.85, 278.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90353
(379.43, 15.85, 278.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52207
(379.43, 15.85, 278.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22161
(379.43, 15.85, 278.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.96856
(379.43, 15.85, 278.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.78949
(379.43, 15.85, 278.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.72444
(379.43, 15.85, 278.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.80282
