¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¸(376.98, 16.31, 288.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.714437
(376.98, 16.31, 288.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.158066
(376.98, 16.31, 288.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.653358
(376.98, 16.31, 288.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.205907
(376.98, 16.31, 288.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.833001
(376.98, 16.31, 288.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.5501
(376.98, 16.31, 288.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.38305
(376.98, 16.31, 288.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.34607
(376.98, 16.31, 288.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.50499
(376.98, 16.31, 288.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.00335
(376.98, 16.31, 288.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.81833
(376.98, 16.31, 288.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.26506
(376.98, 16.31, 288.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.65249
(376.98, 16.31, 288.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.415758
(376.98, 16.31, 288.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.553172
(376.98, 16.31, 288.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.69998
(376.98, 16.31, 288.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.858346
(376.98, 16.31, 288.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.028769
(376.98, 16.31, 288.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.212636
(376.98, 16.31, 288.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.41011
(376.98, 16.31, 288.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.619822
(376.98, 16.31, 288.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.846189
(376.98, 16.31, 288.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.092797
(376.98, 16.31, 288.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.362895
(376.98, 16.31, 288.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.660331
(376.98, 16.31, 288.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.987817
