¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ë(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.060663
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.52831
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.147814
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.139709
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.132818
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.127136
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.122657
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.119376
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.678065
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.63508
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.880009
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.13727
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.14591
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.1151
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.366756
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.6453
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.937239
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.444522
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.754964
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.726197
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.699033
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45896
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05505
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62519
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01607
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.48139
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.738501
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.728294
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.719427
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.127534
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.12186
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.117389
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.114114
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.673186
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.632868
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.877617
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.131597
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.416747
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.723108
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.056292
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.421277
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.822658
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.26613
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.979529
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 8.056366
