¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
’(375.80, 14.72, 295.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.334188
(375.80, 14.72, 295.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.541379
(375.80, 14.72, 295.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.191707
(375.80, 14.72, 295.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.451812
(375.80, 14.72, 295.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.736104
(375.80, 14.72, 295.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.048038
(375.80, 14.72, 295.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.391765
(375.80, 14.72, 295.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.781775
(375.80, 14.72, 295.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.211715
(375.80, 14.72, 295.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.690358
(375.80, 14.72, 295.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.230143
(375.80, 14.72, 295.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.843484
(375.80, 14.72, 295.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54631
(375.80, 14.72, 295.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.37135
(375.80, 14.72, 295.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35927
(375.80, 14.72, 295.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.53804
(375.80, 14.72, 295.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.87393
(375.80, 14.72, 295.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.40697
(375.80, 14.72, 295.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.792997
(375.80, 14.72, 295.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.955554
