¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
“(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.239583
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.746568
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2369
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7814
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14875
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44525
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.80699
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.24265
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46699
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.64721
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.83526
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03157
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.23659
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.45083
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.67482
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.24644
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.89557
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.344513
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.536364
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.743662
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.968313
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.212546
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.478937
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.232222
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.572397
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.947782
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.33899
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.756718
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.220387
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.648764
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12881
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66134
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05867
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35017
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65976
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.08178
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.3648
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.54195
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.7268
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.91968
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.1211
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.3317
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.6017
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18377
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.8271
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.339504
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.530962
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.737821
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.961962
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.205638
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.913711
§(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.222513
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.561713
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.935978
(377.80, 14.22, 300.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.323843
