¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
æ(385.72, 14.47, 306.17) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 9.520725
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 11.60999
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 11.78867
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.65962
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.804613
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.102337
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.413378
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.742675
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.007674
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.293154
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.601444
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.347163
(385.72, 14.47, 306.17) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 9.476398
(385.72, 14.47, 306.17) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 9.476562
(385.72, 14.47, 306.17) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 9.478573
(385.72, 14.47, 306.17) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 9.482434
(385.72, 14.47, 306.17) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 9.488148
(385.72, 14.47, 306.17) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 9.495722
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 11.71497
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 11.86019
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.15384
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.801283
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.09864
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.411846
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.675907
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.935949
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.215935
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.5181
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.31697
(385.72, 14.47, 306.17) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 9.453716
(385.72, 14.47, 306.17) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 9.453807
(385.72, 14.47, 306.17) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 9.455738
(385.72, 14.47, 306.17) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 9.459515
(385.72, 14.47, 306.17) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 9.465139
(385.72, 14.47, 306.17) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 9.472621
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 11.82396
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 11.93435
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.69755
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.79778
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.094837
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.372777
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.61063
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.86591
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.140553
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.436802
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.287004
(385.72, 14.47, 306.17) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 9.432879
(385.72, 14.47, 306.17) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 9.432899
(385.72, 14.47, 306.17) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 9.434759
(385.72, 14.47, 306.17) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 9.438458
(385.72, 14.47, 306.17) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 9.444003
Ù(385.72, 14.47, 306.17) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 9.451397
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 11.93711
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 12.02637
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.25805
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.85131
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.794194
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.085981
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.313122
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.546772
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.797461
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.066962
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.35746
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.037464
(385.72, 14.47, 306.17) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 9.650149
(385.72, 14.47, 306.17) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 9.629854
(385.72, 14.47, 306.17) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 9.611512
(385.72, 14.47, 306.17) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 9.595107
(385.72, 14.47, 306.17) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 9.580625
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 11.96697
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 12.05457
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 12.14585
(385.72, 14.47, 306.17) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 12.37529
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.37006
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.7905
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.020853
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.244453
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.484376
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.730561
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.995104
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.280053
(385.72, 14.47, 306.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.792464
