¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ÿ (393.69, 14.81, 307.64) (412.32, 8.71, 315.76) (0.81, 2.16, 0.81) Human 5.613182
(393.69, 14.81, 307.64) (412.32, 8.71, 315.76) (0.81, 2.16, 0.81) Human 5.594155
(393.69, 14.81, 307.64) (412.32, 8.71, 315.76) (0.81, 2.16, 0.81) Human 5.576426
(393.69, 14.81, 307.64) (412.32, 8.71, 315.76) (0.81, 2.16, 0.81) Human 5.559864
(393.69, 14.81, 307.64) (412.32, 8.71, 315.76) (0.81, 2.16, 0.81) Human 5.544488
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.950792
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.935031
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.922887
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.912476
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.903451
(393.69, 14.81, 307.64) (412.32, 8.71, 315.76) (0.81, 2.16, 0.81) Human 5.476883
(393.69, 14.81, 307.64) (412.32, 8.71, 315.76) (0.81, 2.16, 0.81) Human 5.469546
(393.69, 14.81, 307.64) (412.32, 8.71, 315.76) (0.81, 2.16, 0.81) Human 5.470506
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.958368
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.938215
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.919026
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.900785
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.883456
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.867039
