¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
” (394.17, 14.88, 307.74) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 7.110301
(394.17, 14.88, 307.74) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 7.080023
(394.17, 14.88, 307.74) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 7.051371
(394.17, 14.88, 307.74) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 7.024313
(394.17, 14.88, 307.74) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 6.998821
(394.17, 14.88, 307.74) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 6.974869
(394.17, 14.88, 307.74) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 6.952431
(394.17, 14.88, 307.74) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 6.931482
(394.17, 14.88, 307.74) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 6.968825
(394.17, 14.88, 307.74) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 7.448958
(394.17, 14.88, 307.74) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 10.7766
(394.17, 14.88, 307.74) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 10.75358
(394.17, 14.88, 307.74) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 10.74334
(394.17, 14.88, 307.74) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 10.87029
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.018081
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.033541
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.042089
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.805825
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.119289
(394.17, 14.88, 307.74) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 7.103992
(394.17, 14.88, 307.74) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 7.075239
(394.17, 14.88, 307.74) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 7.048087
(394.17, 14.88, 307.74) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 7.022504
(394.17, 14.88, 307.74) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 6.998467
(394.17, 14.88, 307.74) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 6.97595
(394.17, 14.88, 307.74) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 6.954928
(394.17, 14.88, 307.74) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 6.935379
(394.17, 14.88, 307.74) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 10.89169
(394.17, 14.88, 307.74) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 10.93295
(394.17, 14.88, 307.74) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 10.97666
(394.17, 14.88, 307.74) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 11.02289
(394.17, 14.88, 307.74) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 11.07167
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.895288
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.901682
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.909244
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.917983
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.927902
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.939016
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.951333
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.964867
(394.17, 14.88, 307.74) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 7.047732
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.267401
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.84727
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51286
(394.17, 14.88, 307.74) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 11.13775
(394.17, 14.88, 307.74) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 11.17939
(394.17, 14.88, 307.74) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 11.22353
(394.17, 14.88, 307.74) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 11.27023
(394.17, 14.88, 307.74) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 11.31953
(394.17, 14.88, 307.74) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 11.37149
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.770903
„ (394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.776423
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.783082
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.790887
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.799846
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.809965
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.821258
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.833734
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.847405
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.862287
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.838635
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51256
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54083
(394.17, 14.88, 307.74) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 11.48481
(394.17, 14.88, 307.74) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 11.53212
(394.17, 14.88, 307.74) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 11.58209
(394.17, 14.88, 307.74) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 11.63477
(394.17, 14.88, 307.74) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 11.69021
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.652587
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.657305
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.663135
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.670084
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.678157
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.687363
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.697714
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.709216
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.721883
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.735727
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.830047
