¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ú(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28307
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.04447
(394.88, 14.81, 307.53) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.20299
(394.88, 14.81, 307.53) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.17573
(394.88, 14.81, 307.53) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.15095
(394.88, 14.81, 307.53) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.12863
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.256537
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.511146
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.788763
(394.88, 14.81, 307.53) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 6.99815
(394.88, 14.81, 307.53) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 6.967584
(394.88, 14.81, 307.53) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 6.938631
(394.88, 14.81, 307.53) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 6.911258
(394.88, 14.81, 307.53) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 6.885437
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.136672
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.67977
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31465
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27377
(394.88, 14.81, 307.53) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.04022
(394.88, 14.81, 307.53) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.01091
(394.88, 14.81, 307.53) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.0051
(394.88, 14.81, 307.53) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.02675
(394.88, 14.81, 307.53) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.05084
(394.88, 14.81, 307.53) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.07739
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.856252
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.856754
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.858399
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.861188
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.425516
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.793711
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.202024
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.648557
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.130898
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.669831
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3063
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26381
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05343
(394.88, 14.81, 307.53) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.13129
(394.88, 14.81, 307.53) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.15135
(394.88, 14.81, 307.53) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.17384
(394.88, 14.81, 307.53) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.1988
(394.88, 14.81, 307.53) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.22625
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.760939
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.760958
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.762101
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.764369
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.767763
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.772286
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.777945
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.784743
(394.88, 14.81, 307.53) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.792687
… (394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.659998
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29745
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25155
(394.88, 14.81, 307.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05887
(394.88, 14.81, 307.53) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.28263
(394.88, 14.81, 307.53) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.30353
