¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¬(411.68, 15.29, 309.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.280275
(411.68, 15.29, 309.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.685373
(411.68, 15.29, 309.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.139825
(411.68, 15.29, 309.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.385591
(411.68, 15.29, 309.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.550271
(411.68, 15.29, 309.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.858653
(411.68, 15.29, 309.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.496978
(411.68, 15.29, 309.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70724
(411.68, 15.29, 309.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81772
(411.68, 15.29, 309.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.2248
(411.68, 15.29, 309.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.43943
(411.68, 15.29, 309.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.372158
(411.68, 15.29, 309.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.496787
(411.68, 15.29, 309.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.928067
(411.68, 15.29, 309.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.065636
(411.68, 15.29, 309.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.212132
(411.68, 15.29, 309.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.370551
(411.68, 15.29, 309.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.562845
(411.68, 15.29, 309.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.770601
(411.68, 15.29, 309.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.995689
(411.68, 15.29, 309.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.240337
(411.68, 15.29, 309.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.4647
(411.68, 15.29, 309.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.61146
(411.68, 15.29, 309.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.766418
(411.68, 15.29, 309.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.930199
(411.68, 15.29, 309.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.183511
(411.68, 15.29, 309.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.577386
