¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¯(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.706462
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.95513
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.229824
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.536646
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.876683
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.258305
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.691104
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.254393
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.863795
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.11346
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.20687
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.35596
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.28126
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.14517
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.94864
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.82891
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 24.65499
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.471109
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.699582
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.947643
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.221796
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.52777
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.866819
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.247485
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.678743
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.237037
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.838387
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.0877
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.17927
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.32579
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.24788
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.10439
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.92384
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.78819
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 24.59999
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.464776
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.692676
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.940135
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.213719
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.518839
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.856897
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.236576
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.666454
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.21955
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.812016
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.05919
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.14539
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.29423
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.21375
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.0635
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.89841
µ(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.74894
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 24.54704
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.45842
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.685746
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.932608
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.205596
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.509861
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.846922
(405.82, 13.17, 328.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.225586
