¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ş (381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.950158
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.078516
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.216345
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.364695
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.52478
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.698005
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.886014
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.09073
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.31799
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.564368
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.835875
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.131994
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.407639
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.751502
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.149985
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.612215
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.154434
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.389178
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.989684
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.860165
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.810468
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.796062
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.785496
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.777071
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.77085
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.766825
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.765028
(381.81, 10.71, 321.80) (357.30, 3.61, 324.86) (0.81, 2.16, 0.81) Human 8.765414
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.963248
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.092541
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.231407
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.380912
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.542286
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.716958
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.906598
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.113162
(381.81, 10.71, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.343155
