°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¥(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.803506
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.997139
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.20806
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.438683
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.69351
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.992242
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.325353
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.702603
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.142293
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.645263
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.226213
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.90454
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.70685
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75674
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.08193
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.46499
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.2828
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.30328
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.47618
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.3451
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.08473
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.63261
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 3.942109
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.057989
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.181708
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.314094
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.45602
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.614457
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.791846
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.984437
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.194224
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.423553
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.685392
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.98321
(381.55, 10.64, 321.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.315266
