¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ÿ(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.519612
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.830815
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.147113
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.443563
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.673073
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.917212
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.17732
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.454954
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.751863
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10562
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70158
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.37456
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.953588
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.216001
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.500559
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.810014
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.123803
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.440261
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.676783
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.92117
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.181537
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.459431
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.756647
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09281
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4364
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94949
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.941681
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.198577
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.481606
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.7894
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.100929
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.415479
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.681293
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.925902
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.186545
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.4648
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.762397
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1123
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45733
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8289
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23017
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.931993
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.181305
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.462846
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.768984
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.07846
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.391098
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.686514
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.931438
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.192448
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.47108
†(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.76909
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13253
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47942
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85265
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25576
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.922537
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.164178
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.444304
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.748768
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.056374
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.367198
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.692443
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.937785
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.199157
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.47822
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.780816
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14536
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50267
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87767
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28271
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.913244
(369.15, 9.53, 318.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.147663
