¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ş(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89984
(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.9589
(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.02098
(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.08626
(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15479
(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.22661
(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.248256
(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.500532
(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.775043
(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.063135
(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.378314
(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.724511
(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.106456
(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.547737
(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.046532
(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.608566
(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17077
(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80561
(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31422
(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73058
(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.16067
(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.50158
(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.54001
(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58117
(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62504
(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.6717
(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.72121
(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.7736
(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.82894
(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88727
(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.94866
(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01321
(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.08097
(366.02, 9.67, 330.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15202
(366.02, 9.65, 330.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.246044
(366.02, 9.65, 330.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.568349
(366.02, 9.65, 330.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.918696
(366.02, 9.65, 330.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.300588
(366.02, 9.65, 330.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.718628
(366.02, 9.65, 330.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.1785
(366.02, 9.65, 330.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.6841
(366.02, 9.65, 330.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.23684
(366.02, 9.65, 330.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.85233
(366.02, 9.65, 330.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.54174
(366.02, 9.65, 330.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.31907
(366.02, 9.65, 330.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.20207
(366.02, 9.65, 330.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.21363
(366.02, 9.65, 330.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.15827
(366.02, 9.65, 330.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.62801
(366.02, 9.65, 330.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.41273
(366.02, 9.65, 330.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.47158
(366.02, 9.65, 330.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.99699
(366.02, 9.65, 330.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.214369
(366.02, 9.65, 330.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.533599
(366.02, 9.65, 330.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.881331
