¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
² (371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.212348
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.674449
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.194571
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.791074
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.47253
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.2586
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19103
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.33159
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.69146
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.37668
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.34679
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.2131
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.18954
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.16901
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.15149
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.765055
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.92209
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.090856
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.27267
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.469056
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.681788
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.91294
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.164949
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.440708
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.743668
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.077982
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.427666
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.795572
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.204982
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.666211
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.187709
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.783279
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.4636
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.2565
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18335
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.32255
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.9797
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.91784
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.8828
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.85732
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.66702
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.9032
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.11958
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.760081
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.916757
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.085123
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.266492
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.462382
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.674556
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.905077
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.156371
Ä (371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.431313
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.733333
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.066565
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.421444
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.789011
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.198179
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.658607
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.18154
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.776272
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.45854
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.25541
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.1863
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.31504
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.26526
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.39057
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.51842
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.64888
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.77573
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.91163
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.09801
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.755258
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.911585
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.079565
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.260504
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.455912
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.667544
(371.70, 8.79, 336.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.897456
