¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Í (373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.55774
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.5838
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.268499
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.394473
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.529016
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.672998
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.827408
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.993379
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.172211
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.365412
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.574739
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.802237
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.050219
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.32561
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.641176
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.998401
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.402313
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.861185
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.385121
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.987375
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.686487
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.48873
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.43486
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.5713
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.83111
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.37657
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.31365
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.69381
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.75352
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.270901
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.39703
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.531746
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.675918
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.830538
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.996739
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.175832
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.369324
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.578976
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.806842
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.054808
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.334051
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.651776
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.010295
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.415329
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.875856
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.401094
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.004877
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.706852
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.52348
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.47622
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.62135
² (373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.90378
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.46649
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.42335
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.83566
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.92721
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.273491
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.39979
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.534692
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.679069
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.833915
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.000368
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.17974
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.373546
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.58355
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.811815
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.060604
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.343434
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.662826
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.022685
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.429224
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.891148
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.417766
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.024016
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.72815
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.55485
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.5191
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.67328
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.97913
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.55984
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.53748
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.98356
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.10877
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.276273
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.402753
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.537855
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.682451
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.837541
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.004264
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.183938
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.378079
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.588463
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.817133
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.068263
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.353234
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.674331
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.03557
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.443677
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.907063
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.435138
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.04402
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.750391
Ë (373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.58107
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.56353
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.72713
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.05721
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.65668
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.88869
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.55584
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.7917
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.279246
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.40592
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.541234
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.686067
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.841416
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.008429
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.188425
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.382927
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.593715
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.822454
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.076312
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.363455
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.686288
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.048953
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.458695
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.923605
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.453594
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.064846
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.773935
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.60842
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.60168
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.78293
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.13809
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.75713
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.0401
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.71107
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.28241
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.40929
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.544832
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.689916
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.845542
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.012863
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.193201
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.388088
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.599307
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.828146
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.084753
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.374095
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.698705
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.062838
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.474277
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.940783
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.473185
Û (373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.086505
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.799152
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.63693
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.63581
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.84071
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.22184
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.00767
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.19724
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.86946
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.285763
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.412864
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.548647
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.693996
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.849917
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.017565
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.198267
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.393562
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.60524
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.835076
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.094095
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.385157
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.711578
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.077226
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.490429
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.958593
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.493505
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.108994
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.825353
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.66658
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.67134
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.88786
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.34269
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.12342
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.34827
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.03451
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.289309
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.416642
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.55268
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.69831
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.854543
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.022537
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.203625
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.399352
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.611253
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.843514
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.104529
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.396645
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.724915
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.092124
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.507156
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.977045
Ñ (373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.514565
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.13233
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.85255
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.69836
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.7083
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.93298
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.43885
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.24332
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.48068
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.20643
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.293046
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.420623
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.556932
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.702859
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.859421
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.02778
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.209275
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.405457
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.617525
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.852313
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.115347
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.408617
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.738716
(373.39, 8.82, 336.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.10753
