¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¾(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.50472
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.52342
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.74867
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.4246
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.065473
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.372916
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.643812
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.940172
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.279753
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.638041
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.032372
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.466133
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.962598
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10509
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75034
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48594
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.33223
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.31592
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.47321
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.85421
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.48285
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.46818
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.56586
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.21059
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.052782
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.368067
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.64287
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.939141
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.272852
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.635581
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.029645
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.464549
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.526362
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09571
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73967
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47375
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31813
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29945
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.45371
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.83075
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.46139
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.41129
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.48335
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.826
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.050045
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.353676
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.641912
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.938091
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.265844
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.633119
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.026909
Ó(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.46294
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.518103
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0864
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72908
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46165
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.30412
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.28305
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.4343
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.80745
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.44034
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.32274
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.45753
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.45384
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.051676
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.339023
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.640936
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.937021
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.26222
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.630648
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.024166
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.461308
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.509902
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07715
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71855
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4496
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.29021
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.26682
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.41511
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.78438
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.41966
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.3234
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.4337
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.17626
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.053262
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.324113
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.639945
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.935933
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.261024
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.628172
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.021418
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.997458
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.501717
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06792
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70816
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43765
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27644
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.25072
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.39606
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.76147
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.39943
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.33675
å(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.4119
(349.48, 7.06, 364.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.30366
(349.46, 7.06, 364.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.813909
(349.46, 7.06, 364.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.04847
(349.46, 7.06, 364.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.304033
(349.46, 7.06, 364.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.583486
(349.46, 7.06, 364.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.89027
(349.46, 7.06, 364.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.228519
(349.46, 7.06, 364.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.603254
(349.46, 7.06, 364.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.601116
(349.46, 7.06, 364.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.11937
(349.46, 7.06, 364.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.706091
(349.46, 7.06, 364.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.37566
(349.46, 7.06, 364.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11829
(349.46, 7.06, 364.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97738
(349.46, 7.06, 364.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97674
(349.46, 7.06, 364.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.02334
(349.46, 7.06, 364.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.40981
(349.46, 7.06, 364.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.84422
(349.46, 7.06, 364.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.705
(349.46, 7.06, 364.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.83415
(349.46, 7.06, 364.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.8128
(349.46, 7.06, 364.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.79593
(349.46, 7.06, 364.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.78352
(349.46, 7.06, 364.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.77557
(349.46, 7.06, 364.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.77205
(349.46, 7.06, 364.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.77298
(349.46, 7.06, 364.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.77835
(349.46, 7.06, 364.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.78816
(349.46, 7.06, 364.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.80243
(349.46, 7.06, 364.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.818127
(349.46, 7.06, 364.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.053059
(349.46, 7.06, 364.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.309041
(349.46, 7.06, 364.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.588972
