¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¡(345.70, 6.92, 371.43) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 20.11298
(345.70, 6.92, 371.43) (324.60, 1.25, 348.44) (1.48, 2.50, 0.50) Cabin 20.09269
(345.70, 6.92, 371.43) (324.60, 1.25, 348.44) (1.48, 2.50, 0.50) Cabin 20.07635
(345.70, 6.92, 371.43) (324.60, 1.25, 348.44) (1.48, 2.50, 0.50) Cabin 20.06396
(345.70, 6.92, 371.43) (324.60, 1.25, 348.44) (1.48, 2.50, 0.50) Cabin 20.05548
(345.70, 6.92, 371.43) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 20.05091
(345.70, 6.92, 371.43) (324.28, 2.56, 347.26) (2.10, 0.13, 2.78) Cabin 20.00385
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.655475
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.915118
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.200354
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.550476
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.938004
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.332
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.753449
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.228718
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.796284
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44046
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16953
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.98595
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.81497
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.53795
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.17374
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.8601
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.45646
(345.70, 6.92, 371.43) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 20.10765
(345.70, 6.92, 371.43) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 20.07948
(345.70, 6.92, 371.43) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 20.0553
(345.70, 6.92, 371.43) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 20.03507
(345.70, 6.92, 371.43) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 20.01878
(345.70, 6.92, 371.43) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 20.00642
(345.70, 6.92, 371.43) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 19.99796
(345.70, 6.92, 371.43) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 19.99341
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.653953
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.913455
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.195462
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.544272
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.931136
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.348633
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.771905
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.247885
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.817995
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46518
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20555
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93078
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.75179
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5105
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.17715
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.86389
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.3623
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.89567
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.652446
†(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.911831
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.193698
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.537971
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.924123
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.353674
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.790449
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.267039
(345.70, 6.92, 371.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.839672
