¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
À(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.501088
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.059334
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.698059
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.22013
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.44608
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.34991
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.44603
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.79978
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.51259
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.72546
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.51352
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.98784
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.746072
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.976475
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.227397
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.503009
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.818666
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.167976
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.556591
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.99138
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.481014
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.036448
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.671782
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40259
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.63008
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.31061
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.39818
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.74085
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.43835
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.62843
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.38352
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.82586
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.738255
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.967961
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.218142
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.491478
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.805863
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.153775
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.540738
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.973609
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.460936
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.013598
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.645493
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36981
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.98278
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.27148
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.3505
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.68219
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.36446
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.53199
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.25491
Ô(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.66799
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.730434
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.95948
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.208874
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.481355
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.793064
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.139557
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.524879
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.95583
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.440866
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.990715
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.619249
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.33717
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14248
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.46491
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.30301
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.6238
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.29092
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.43615
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.1277
(336.46, 7.64, 372.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.51413
