¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ê(333.01, 7.41, 370.53) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 7.514063
(333.01, 7.41, 370.53) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 7.497571
(333.01, 7.41, 370.53) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 7.482607
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.469156
(333.01, 7.41, 370.53) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 7.457204
(333.01, 7.41, 370.53) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 7.446741
(333.01, 7.41, 370.53) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 7.437753
(333.01, 7.41, 370.53) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 7.430234
(333.01, 7.41, 370.53) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 7.424177
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.419575
(333.01, 7.41, 370.53) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 7.416423
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.414719
(333.01, 7.41, 370.53) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 7.414461
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.415648
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.504527
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.704921
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.896012
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.097275
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.314012
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.548053
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.801503
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.076819
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.376809
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.642989
(333.01, 7.41, 370.53) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 7.618499
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.595641
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.574393
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.554732
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.536639
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.520095
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.505082
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.491586
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.479597
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.469097
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.460081
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.452537
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.446458
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.441839
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.438674
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.436963
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.436701
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.43789
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.476098
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.674256
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.872236
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.071717
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.286515
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.518379
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.769373
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.04188
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.338741
Í(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.66328
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.642967
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.620033
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.598712
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.578986
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.560831
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.54423
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.529166
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.515625
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.503592
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.493057
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.484008
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.476436
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.470335
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.465698
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.46252
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.460799
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.460534
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.461722
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.448082
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.643979
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.848891
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.046632
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.259519
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.489214
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.737791
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.007619
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.301397
(333.01, 7.41, 370.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.622446
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.669096
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.646079
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.624683
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.604886
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.586664
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.570003
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.554884
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.541293
(333.01, 7.41, 370.53) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 7.529216
(333.01, 7.41, 370.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.518641
