¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
›(338.53, 7.61, 336.09) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 23.1142
(338.53, 7.61, 336.09) (317.06, 1.79, 303.65) (1.40, 1.43, 1.36) Tools 23.35855
(338.53, 7.61, 336.09) (317.06, 1.79, 303.65) (1.40, 1.43, 1.36) Tools 23.34319
(338.53, 7.61, 336.09) (317.06, 1.79, 303.65) (1.40, 1.43, 1.36) Tools 23.33239
(338.53, 7.61, 336.09) (317.06, 1.79, 303.65) (1.40, 1.43, 1.36) Tools 23.32614
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.777621
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.989563
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.218868
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.467733
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.738748
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.034914
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.359753
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.717642
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.113831
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.5546
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.019054
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.395599
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.806999
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25816
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.755
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30477
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.16934
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.81291
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.98724
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.10372
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.82749
(338.53, 7.61, 336.09) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 22.84784
(338.53, 7.61, 336.09) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 22.82698
(338.53, 7.61, 336.09) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 22.81061
(338.53, 7.61, 336.09) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 23.62535
(338.53, 7.61, 336.09) (317.06, 1.79, 303.65) (1.40, 1.43, 1.36) Tools 23.69036
(338.53, 7.61, 336.09) (317.06, 1.79, 303.65) (1.40, 1.43, 1.36) Tools 23.6792
(338.53, 7.61, 336.09) (317.06, 1.79, 303.65) (1.40, 1.43, 1.36) Tools 23.67267
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.780149
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.992286
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.221817
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.470963
