¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
É(334.16, 6.61, 320.55) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 11.69024
(334.16, 6.61, 320.55) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 11.67458
(334.16, 6.61, 320.55) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 11.66122
(334.16, 6.61, 320.55) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 11.65017
(334.16, 6.61, 320.55) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 11.64141
(334.16, 6.61, 320.55) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 11.63492
(334.16, 6.61, 320.55) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 11.63071
(334.16, 6.61, 320.55) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 11.62877
(334.16, 6.61, 320.55) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 11.6291
(334.16, 6.61, 320.55) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 23.86378
(334.16, 6.61, 320.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.648334
(334.16, 6.61, 320.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.988265
(334.16, 6.61, 320.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.361451
(334.16, 6.61, 320.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.773083
(334.16, 6.61, 320.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.229152
(334.16, 6.61, 320.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.737294
(334.16, 6.61, 320.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30677
(334.16, 6.61, 320.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94927
(334.16, 6.61, 320.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67963
(334.16, 6.61, 320.55) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 11.84882
(334.16, 6.61, 320.55) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 11.81835
(334.16, 6.61, 320.55) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 11.79032
(334.16, 6.61, 320.55) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 11.76472
(334.16, 6.61, 320.55) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 11.74152
(334.16, 6.61, 320.55) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 11.72068
(334.16, 6.61, 320.55) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 11.7022
(334.16, 6.61, 320.55) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 11.69779
(334.16, 6.61, 320.55) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 11.68443
(334.16, 6.61, 320.55) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 11.67336
(334.16, 6.61, 320.55) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 11.6646
(334.16, 6.61, 320.55) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 11.65811
(334.16, 6.61, 320.55) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 11.6539
(334.16, 6.61, 320.55) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 11.65197
(334.16, 6.61, 320.55) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 11.65231
(334.16, 6.61, 320.55) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 23.87885
(334.16, 6.61, 320.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.636148
(334.16, 6.61, 320.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.974875
(334.16, 6.61, 320.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.346759
(334.16, 6.61, 320.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.756788
