¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ç(327.45, 6.95, 329.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.9231
(327.45, 6.95, 329.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.34575
(327.45, 6.95, 329.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.77716
(327.45, 6.95, 329.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.07191
(327.45, 6.95, 329.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.37892
(327.45, 6.95, 329.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.884518
(327.45, 6.95, 329.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.068006
(327.45, 6.95, 329.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.264569
(327.45, 6.95, 329.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.475595
(327.45, 6.95, 329.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.70533
(327.45, 6.95, 329.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.921679
(327.45, 6.95, 329.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.137624
(327.45, 6.95, 329.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.368958
(327.45, 6.95, 329.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.617326
(327.45, 6.95, 329.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.884612
(327.45, 6.95, 329.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.278812
(327.45, 6.95, 329.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.240688
(327.45, 6.95, 329.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.682669
(327.45, 6.95, 329.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16964
(327.45, 6.95, 329.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65106
(327.45, 6.95, 329.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03982
(327.45, 6.95, 329.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.82778
(327.45, 6.95, 329.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.23099
(327.45, 6.95, 329.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.31791
(327.45, 6.95, 329.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.19607
(327.45, 6.95, 329.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.28054
(327.45, 6.95, 329.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.73728
(327.45, 6.95, 329.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.42872
(327.45, 6.95, 329.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.78388
