¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ã(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.26992
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97709
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.07341
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.792446
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.997921
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.219767
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.459961
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.721398
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.027321
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.795948
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.041628
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.304989
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.587928
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.892623
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.191681
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.430922
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.633024
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.839754
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05759
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28734
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53388
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80374
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39418
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67474
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00765
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.68854
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.01364
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.789568
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.99482
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.216417
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.456331
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.716614
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.475946
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.767994
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.023301
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.2854
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.566907
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.869999
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.184112
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.414185
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.609629
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.815332
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03201
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26052
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50261
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77082
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05524
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35741
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61511
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82848
å(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41263
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.14149
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.10734
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.786803
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.991841
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.213198
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.452843
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.71308
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.45001
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.739895
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.005711
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.26655
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.546656
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.848261
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.173749
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.393223
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.587722
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.792418
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00801
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23536
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4754
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73976
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02251
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32282
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55812
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.76937
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.14188
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.85016
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.00622
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.784153
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.988984
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.210111
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.4495
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.158841
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.424582
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.712353
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.988773
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.248423
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.52727
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.827387
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.151236
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.373633
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.567257
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.770998
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.9856
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21189
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45077
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71059
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.99176
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29034
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.5038
ï(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.71302
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93233
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56272
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.32243
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.781613
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.986249
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.207157
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.446298
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.135732
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.399648
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.685316
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.972526
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.231051
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.508606
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.807348
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.129637
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.358248
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.54822
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.751122
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.964818
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19011
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42789
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.68326
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96292
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25416
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45205
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65933
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.87658
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28978
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0188
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.779187
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.983634
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.204333
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.443238
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.113113
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.375169
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.658817
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.956955
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.214413
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.49077
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.788176
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.108997
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.368941
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.539944
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.732729
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.945553
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16995
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40676
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65775
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93604
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20662
ï(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4028
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.60824
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82355
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.04941
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.72831
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.6469
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.776874
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.981143
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.201641
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.807321
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.090881
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.351183
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.632874
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.938636
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.198481
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.473726
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.769855
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.090055
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.381024
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.552518
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.732305
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.927887
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1514
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38731
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63654
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.91107
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16146
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.356
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55969
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77319
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.99711
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45286
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.20462
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.774673
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.978773
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.19908
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.793375
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.069076
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.327664
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.60744
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.911033
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.183275
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.457438
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.752351
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.072201
