¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ı(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.47779
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.948791
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.462956
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.03718
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.6279
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.16852
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.813
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.54562
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.34988
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.17348
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.08344
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.97852
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.9549
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.96673
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.95714
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.99807
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.03297
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.23395
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.629031
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.023157
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.46279
(346.11, 8.35, 311.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.929794
