¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¡(347.20, 8.53, 312.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.989407
(347.20, 8.53, 312.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.386113
(347.20, 8.53, 312.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.856879
(347.20, 8.53, 312.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.403711
(347.20, 8.53, 312.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08668
(347.20, 8.53, 312.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77201
(347.20, 8.53, 312.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.42878
(347.20, 8.53, 312.24) (353.66, 0.49, 340.27) (6.54, 1.16, 1.19) Tools 19.69365
(347.20, 8.53, 312.24) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 21.17219
(347.20, 8.53, 312.24) (349.51, 0.49, 347.06) (1.16, 1.16, 6.53) Tools 23.71738
(347.20, 8.53, 312.24) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 23.89198
(347.20, 8.53, 312.24) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 23.91672
(347.20, 8.53, 312.24) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 24.59702
(347.20, 8.53, 312.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.706647
(347.20, 8.53, 312.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.989358
(347.20, 8.53, 312.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.30205
(347.20, 8.53, 312.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.645647
(347.20, 8.53, 312.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.018433
(347.20, 8.53, 312.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.423034
(347.20, 8.53, 312.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.899389
(347.20, 8.53, 312.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.452135
(347.20, 8.53, 312.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14263
(347.20, 8.53, 312.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80075
(347.20, 8.53, 312.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40517
(347.20, 8.53, 312.24) (353.66, 0.49, 340.27) (6.54, 1.16, 1.19) Tools 19.65149
(347.20, 8.53, 312.24) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 23.69997
(347.20, 8.53, 312.24) (349.51, 0.49, 347.06) (1.16, 1.16, 6.53) Tools 24.29299
(347.20, 8.53, 312.24) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 24.42034
(347.20, 8.53, 312.24) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 24.61139
(347.20, 8.53, 312.24) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 24.1446
(347.20, 8.53, 312.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.728383
(347.20, 8.53, 312.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.012391
(347.20, 8.53, 312.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.325677
(347.20, 8.53, 312.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.671665
(347.20, 8.53, 312.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.04766
(347.20, 8.53, 312.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.461152
(347.20, 8.53, 312.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.942147
(347.20, 8.53, 312.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.500655
(347.20, 8.53, 312.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19868
(347.20, 8.53, 312.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83
(347.20, 8.53, 312.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41483
(347.20, 8.53, 312.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.16964
(347.20, 8.53, 312.24) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 24.42526
(347.20, 8.53, 312.24) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 23.93978
(347.20, 8.53, 312.24) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 23.52009
