¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
œ(349.88, 8.84, 313.91) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 23.42597
(349.88, 8.84, 313.91) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 23.52334
(349.88, 8.84, 313.91) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 24.19641
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.427349
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.76646
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.146882
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.554411
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.010762
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.523231
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.962218
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53881
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15338
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.71618
(349.88, 8.84, 313.91) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 23.98102
(349.88, 8.84, 313.91) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 24.01871
(349.88, 8.84, 313.91) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 24.60856
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.452942
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.79454
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.180995
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.592202
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.049155
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.566297
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0396
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62581
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.24551
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81822
(349.88, 8.84, 313.91) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 21.46463
(349.88, 8.84, 313.91) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 23.42886
(349.88, 8.84, 313.91) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 24.56796
(349.88, 8.84, 313.91) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 24.5395
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.478517
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.823039
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.215143
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.63012
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.091016
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.609455
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11808
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7141
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.33953
(349.88, 8.84, 313.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97421
(349.88, 8.84, 313.91) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 21.72858
(349.88, 8.84, 313.91) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 23.61719
