¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
© (369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.580713
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.077863
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.623427
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.24096
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.78742
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65283
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.65827
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.84041
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.25009
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.66439
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.973
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.71103
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.04363
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.057435
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.220862
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.396291
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.585047
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.554108
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.774355
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.014989
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.277829
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.566028
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.883366
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.23442
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.624771
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.061311
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.552644
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.05041
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.592705
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.2062
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.75366
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.61389
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61283
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.78674
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.1857
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.74389
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.06922
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.89771
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.98148
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.046278
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.208913
(369.70, 8.99, 336.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.383468
