¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
± (371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40073
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.42355
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.65088
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.84023
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.83709
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.04945
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.21631
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.012377
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.145411
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.288435
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.442576
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.609144
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.789659
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.851461
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.068686
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.307357
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.570757
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.862868
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.188583
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.533944
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.891912
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.290933
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.742057
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.254405
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.735065
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4672
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32077
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.32861
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.53624
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.8499
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.84806
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.07486
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.12237
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.998049
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.130044
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.271913
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.424767
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.589896
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.768791
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.832481
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.047181
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.283703
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.544615
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.833832
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.156147
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.50155
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.855909
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.250626
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.696529
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.202577
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.677698
¶ (371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40082
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.24308
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.23637
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.42505
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.86189
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.86173
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.10343
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.03302
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.98394
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.114914
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.255651
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.407246
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.570961
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.748272
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.940898
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.026021
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.260437
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.518918
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.805304
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.124296
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.469865
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.820719
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.211251
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.652086
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.152023
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.728349
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3362
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16752
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.14681
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.31723
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.74046
(371.94, 8.88, 338.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.87811
