¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ò(413.97, 8.10, 362.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49287
(413.97, 8.10, 362.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21577
(413.97, 8.10, 362.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01561
(413.97, 8.10, 362.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.9822
(413.97, 8.10, 362.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.04453
(413.97, 8.10, 362.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.17089
(413.97, 8.10, 362.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.45423
(413.97, 8.10, 362.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.68
(413.97, 8.10, 362.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.01403
(413.97, 8.10, 362.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.39172
(413.97, 8.10, 362.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.74481
(413.97, 8.10, 362.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.31535
(413.97, 8.10, 362.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.699358
(413.97, 8.10, 362.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.008094
(413.97, 8.10, 362.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.332339
(413.97, 8.10, 362.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.709942
(413.97, 8.10, 362.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.130219
(413.97, 8.10, 362.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.591942
(413.97, 8.10, 362.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.122513
(413.97, 8.10, 362.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.72384
(413.97, 8.10, 362.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11853
(413.97, 8.10, 362.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9056
(413.97, 8.10, 362.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.83952
(413.97, 8.10, 362.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.90125
(413.97, 8.10, 362.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.00338
(413.97, 8.10, 362.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.26206
(413.97, 8.10, 362.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.5179
