¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
€(417.36, 8.33, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.98697
(417.36, 8.33, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.34969
(417.36, 8.33, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.952447
(417.36, 8.33, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4016
(417.36, 8.33, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88619
(417.36, 8.33, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43
(417.36, 8.33, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.04677
(417.36, 8.33, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.43434
(417.36, 8.33, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.947932
(417.36, 8.33, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39752
(417.36, 8.33, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88171
(417.36, 8.33, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43563
(417.36, 8.33, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.10586
(417.36, 8.33, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.51823
(417.36, 8.33, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.94289
(417.36, 8.33, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39327
(417.36, 8.33, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.877
(417.36, 8.33, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44083
(417.36, 8.33, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.16417
(417.36, 8.33, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.60128
(417.36, 8.33, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.93735
(417.36, 8.33, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3888
(417.36, 8.33, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87208
(417.36, 8.33, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44566
(417.36, 8.33, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.22743
(417.36, 8.33, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.68344
(417.36, 8.33, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.931305
(417.36, 8.33, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38416
