¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¢(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.479088
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.721471
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.982306
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.270164
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.611399
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.954638
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.332686
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.750951
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.215559
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.789269
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.4967
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.39264
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.0128
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.151344
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.3037
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.466443
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.640622
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.830926
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.038174
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.252524
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.483963
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.723272
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.985354
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.273477
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.621396
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.965587
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.346198
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.765032
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.233623
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.809692
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.52311
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.42138
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.65038
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.153728
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.30624
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.469153
(428.81, 10.45, 359.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.643522
