¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ë (430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.30807
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.04978
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.1093
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 23.05047
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 23.01529
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.9847
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.95866
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 23.37445
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 24.78269
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 24.73168
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 24.68568
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 24.65492
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 24.60854
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.975199
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75005
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62089
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69692
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.91339
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.262
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.86505
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.72813
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.60341
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.88991
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.85474
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.82412
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.79802
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.83777
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 24.24936
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 24.24424
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 24.15444
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 24.11429
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 24.11947
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.939605
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69852
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57169
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.66649
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.84293
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.21437
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.64477
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.56269
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.53692
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.92883
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.70071
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.67006
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.6439
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 23.0535
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 23.81101
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 23.762
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 23.71781
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 24.29587
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 24.33705
Ô (430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.902848
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6477
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54439
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.63366
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.77037
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.16527
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.49271
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.40775
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.20565
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.77988
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.55301
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.52234
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.49613
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 22.90284
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 23.32846
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 23.28045
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 23.23714
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 23.19852
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 24.56514
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 24.96418
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 24.61723
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 24.59565
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 24.5789
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 24.91143
(430.55, 11.00, 347.39) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 24.78048
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.86494
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60576
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51509
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.59841
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.73913
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.11469
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.43268
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.25129
(430.55, 11.00, 347.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.85685
