¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
â(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.455907
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.713815
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.994591
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.301384
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.637854
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.008467
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.418543
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.868684
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.357631
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.900423
(434.26, 14.61, 319.29) (430.88, 7.28, 293.77) (0.69, 0.85, 1.40) Fence 9.969459
(434.26, 14.61, 319.29) (430.88, 7.28, 293.77) (0.69, 0.85, 1.40) Fence 10.00081
(434.26, 14.61, 319.29) (430.88, 7.28, 293.77) (0.69, 0.85, 1.40) Fence 10.03431
(434.26, 14.61, 319.29) (430.88, 7.28, 293.77) (0.69, 0.85, 1.40) Fence 10.07002
(434.26, 14.61, 319.29) (430.88, 7.28, 293.77) (0.69, 0.85, 1.40) Fence 10.10795
(434.26, 14.61, 319.29) (430.88, 7.28, 293.77) (0.69, 0.85, 1.40) Fence 10.14816
(434.26, 14.61, 319.29) (430.88, 7.28, 293.77) (0.69, 0.85, 1.40) Fence 10.40526
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.50419
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.68162
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.02466
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.01569
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.01063
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.00946
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.0122
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.01884
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.0294
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.04387
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.06228
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.460079
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.718362
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.999548
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.306814
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.643795
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.015052
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.422029
(434.26, 14.61, 319.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.872538
