¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
É(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.242414
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.579332
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.950765
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.362198
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.810789
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.280413
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.804968
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39448
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.03851
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65789
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.30457
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.02992
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.91307
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.8919
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.87349
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.85784
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.84491
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.8347
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.8272
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.82241
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.82031
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.8209
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.82419
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.83018
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.164372
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.402085
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.660213
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.94147
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.248989
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.586563
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.958749
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.371046
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.82865
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.30032
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.8272
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41957
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05114
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69402
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.34492
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0752
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.7091
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.68821
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.67005
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.65459
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.64183
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.63174
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.62432
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.61957
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.61747
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.61803
(433.02, 14.37, 310.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.62124
