¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Š (435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.638742
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.618849
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.60036
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.583253
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.567511
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.553119
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.540063
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.528328
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 8.085495
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.117938
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.35617
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.615055
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.788322
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.759533
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.732293
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.706575
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.682351
