¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ë(435.32, 13.96, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.662045
(435.32, 13.96, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.848884
(435.32, 13.96, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50175
(435.32, 13.96, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22835
(435.32, 13.96, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.06551
(435.32, 13.96, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99326
(435.32, 13.96, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.12216
(435.32, 13.96, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.3363
(435.32, 13.96, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.86201
(435.32, 13.96, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.7289
(435.32, 13.96, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.83595
(435.32, 13.96, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.50121
(435.32, 13.96, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.498501
(435.32, 13.96, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.704179
(435.32, 13.96, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.927022
(435.32, 13.96, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.166099
(435.32, 13.96, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.42621
(435.32, 13.96, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.71169
(435.32, 13.96, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.021849
(435.32, 13.96, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.361027
(435.32, 13.96, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.744827
(435.32, 13.96, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.1783
(435.32, 13.96, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.264741
(435.32, 13.96, 293.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.849407
