¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ú(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.20796
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.17146
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.13719
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.10512
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.0752
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.04742
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.02174
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.46643
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.046313
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.279602
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.532935
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.808943
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.110734
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.442045
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.799994
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.181651
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.604387
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.075032
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.578212
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10295
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57584
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09742
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67554
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 12.09774
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 12.04176
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 11.98862
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.27583
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.23483
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.19615
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.15973
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.12553
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.09352
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.06367
