¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
— (436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.041859
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.01836
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.996551
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.344239
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.475002
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.214126
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.448203
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.701909
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.968184
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.253304
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.564267
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.904716
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.285934
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.709126
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.157361
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.171868
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.119725
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.069933
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.02243
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.248675
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.272184
