¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
›(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.238784
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.505431
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.795858
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.12021
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.483374
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.880036
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.331639
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.832994
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.4062
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.06132
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.8247
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.71555
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.76878
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.03323
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.59247
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.537
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.08711
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.78089
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.980909
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.223675
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.488927
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.777897
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.100411
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.461539
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.856057
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.30474
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.80313
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.372502
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.02279
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.77972
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.66245
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.70529
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.95609
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.49722
(444.38, 14.35, 267.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.41678
