¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ß(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.087839
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.407234
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.75836
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.146138
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.576458
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.056643
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.588113
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07269
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63392
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.24933
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79414
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.35202
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.10255
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 11.96075
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 11.8909
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 11.85763
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 11.85335
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 11.89862
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 11.96792
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.10359
(442.89, 14.85, 257.79) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.33825
(442.89, 14.85, 257.79) (417.94, 9.03, 258.16) (2.56, 2.61, 2.56) Tools 14.32325
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.644477
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.838952
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.048532
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.274944
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.520303
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.78701
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.07794
(442.89, 14.85, 257.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.396403
