¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
İ(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.312628
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.82096
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.397429
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.15534
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.59342
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.5568
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.67645
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.89404
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.40736
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.92752
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.0899
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.59244
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.85607
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.960514
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.208667
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.478036
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.774705
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.10213
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.46137
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.864734
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.314524
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.823097
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.399858
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77931
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.60506
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57048
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.68333
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.90581
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.43467
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.20158
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.43064
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.63043
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.91622
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.960658
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.208823
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.478683
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.775133
