¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ç(401.99, 14.21, 246.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.93764
(401.99, 14.21, 246.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.8713
(401.99, 14.21, 246.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.91929
(401.99, 14.21, 246.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.1058
(401.99, 14.21, 246.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.00785
(401.99, 14.21, 246.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.240832
(401.99, 14.21, 246.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.493962
(401.99, 14.21, 246.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.769858
(401.99, 14.21, 246.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.071654
(401.99, 14.21, 246.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.403151
(401.99, 14.21, 246.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.768826
(401.99, 14.21, 246.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.165262
(401.99, 14.21, 246.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.603672
(401.99, 14.21, 246.26) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.710581
(401.99, 14.21, 246.26) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.624328
(401.99, 14.21, 246.26) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.531949
(401.99, 14.21, 246.26) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.507286
(401.99, 14.21, 246.26) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.484414
(401.99, 14.21, 246.26) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.493151
(401.99, 14.21, 246.26) (391.40, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 11.94821
(401.99, 14.21, 246.26) (391.40, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 11.93559
(401.99, 14.21, 246.26) (391.40, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 13.24525
(401.99, 14.21, 246.26) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 12.7995
(401.99, 14.21, 246.26) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 12.37128
(401.99, 14.21, 246.26) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 12.34196
(401.99, 14.21, 246.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.01314
(401.99, 14.21, 246.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.85307
(401.99, 14.21, 246.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.90274
(401.99, 14.21, 246.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.04411
(401.99, 14.21, 246.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.014842
(401.99, 14.21, 246.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.248446
(401.99, 14.21, 246.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.502219
(401.99, 14.21, 246.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.778879
(401.99, 14.21, 246.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.081563
(401.99, 14.21, 246.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.414033
(401.99, 14.21, 246.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.780869
(401.99, 14.21, 246.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.183294
(401.99, 14.21, 246.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.624411
(401.99, 14.21, 246.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.100201
(401.99, 14.21, 246.26) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.709771
(401.99, 14.21, 246.26) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.609851
(401.99, 14.21, 246.26) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.584944
(401.99, 14.21, 246.26) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.561846
(401.99, 14.21, 246.26) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.540531
(401.99, 14.21, 246.26) (391.40, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 11.45134
(401.99, 14.21, 246.26) (391.40, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 11.47208
(401.99, 14.21, 246.26) (391.40, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 12.85757
(401.99, 14.21, 246.26) (392.05, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 13.47188
(401.99, 14.21, 246.26) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 13.22094
(401.99, 14.21, 246.26) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 13.18843
(401.99, 14.21, 246.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.09239
