¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‚ (401.66, 14.17, 246.00) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 8.011642
(401.66, 14.17, 246.00) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.983612
(401.66, 14.17, 246.00) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.957322
(401.66, 14.17, 246.00) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.932747
(401.66, 14.17, 246.00) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.909861
(401.66, 14.17, 246.00) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.88864
(401.66, 14.17, 246.00) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.869062
(401.66, 14.17, 246.00) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.851108
(401.66, 14.17, 246.00) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.83476
(401.66, 14.17, 246.00) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.820001
(401.66, 14.17, 246.00) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 9.165938
(401.66, 14.17, 246.00) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 10.94747
(401.66, 14.17, 246.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.965106
(401.66, 14.17, 246.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.191273
(401.66, 14.17, 246.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.434876
(401.66, 14.17, 246.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.699818
(401.66, 14.17, 246.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.988912
(401.66, 14.17, 246.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.299228
(401.66, 14.17, 246.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.635664
(401.66, 14.17, 246.00) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.765701
(401.66, 14.17, 246.00) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.733879
(401.66, 14.17, 246.00) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.703814
(401.66, 14.17, 246.00) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.67547
(401.66, 14.17, 246.00) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.648822
(401.66, 14.17, 246.00) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.623836
