¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
á(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.263804
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.5024
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.761283
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.043057
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.350808
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.688266
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.052285
(399.34, 14.02, 246.27) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.107692
(399.34, 14.02, 246.27) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.080939
(399.34, 14.02, 246.27) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.272651
(399.34, 14.02, 246.27) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.849439
(399.34, 14.02, 246.27) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 9.514676
(399.34, 14.02, 246.27) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.29023
(399.34, 14.02, 246.27) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 11.20581
(399.34, 14.02, 246.27) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 11.72346
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.33218
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.16677
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.13314
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.10046
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.24712
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.81884
(399.34, 14.02, 246.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 18.90657
(399.34, 14.02, 246.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 18.89782
(399.34, 14.02, 246.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 18.89277
(399.34, 14.02, 246.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 18.8914
(399.34, 14.02, 246.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 18.89372
(399.34, 14.02, 246.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 18.89972
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.046204
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.267
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.505846
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.76503
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.047125
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.355285
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.693178
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.06133
(399.34, 14.02, 246.27) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.115649
(399.34, 14.02, 246.27) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.088871
(399.34, 14.02, 246.27) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.273952
(399.34, 14.02, 246.27) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.85093
(399.34, 14.02, 246.27) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 9.403023
(399.34, 14.02, 246.27) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 9.713662
(399.34, 14.02, 246.27) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.04755
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.53618
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.35604
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18418
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.15297
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.11187
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.24906
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.8182
(399.34, 14.02, 246.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 18.83534
(399.34, 14.02, 246.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 18.82663
ğ(399.34, 14.02, 246.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 18.8216
(399.34, 14.02, 246.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 18.82023
(399.34, 14.02, 246.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 18.82253
(399.34, 14.02, 246.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 18.82851
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.049246
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.270264
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.509408
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.768881
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.051329
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.359868
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.69824
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.070663
(399.34, 14.02, 246.27) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.125209
(399.34, 14.02, 246.27) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.098399
(399.34, 14.02, 246.27) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.082018
(399.34, 14.02, 246.27) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.305429
(399.34, 14.02, 246.27) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.543258
(399.34, 14.02, 246.27) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 11.1477
(399.34, 14.02, 246.27) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 11.12649
(399.34, 14.02, 246.27) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 11.10753
(399.34, 14.02, 246.27) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 11.09078
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.20937
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.17442
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.13545
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.25322
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.81989
(399.34, 14.02, 246.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 18.7683
(399.34, 14.02, 246.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 18.75962
(399.34, 14.02, 246.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 18.7546
(399.34, 14.02, 246.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 18.75323
(399.34, 14.02, 246.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 18.75553
(399.34, 14.02, 246.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 18.76148
(399.34, 14.02, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.393215
(399.34, 14.02, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.366862
(399.34, 14.02, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.3418
(399.34, 14.02, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.318005
(399.34, 14.02, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.297062
(399.34, 14.02, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.300639
(399.34, 14.02, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.32035
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.076563
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.479992
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.923347
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.417521
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.957855
(399.34, 14.02, 246.27) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 9.696303
(399.34, 14.02, 246.27) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 9.675473
(399.34, 14.02, 246.27) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 9.65661
(399.34, 14.02, 246.27) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 9.962096
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.40717
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.23786
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.19747
ƒ (399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.16108
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.25952
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.82387
(399.34, 14.02, 246.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 18.70537
(399.34, 14.02, 246.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 18.69671
(399.34, 14.02, 246.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 18.69171
(399.34, 14.02, 246.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 18.69035
(399.34, 14.02, 246.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 18.69263
(399.34, 14.02, 246.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 18.69856
(399.34, 14.02, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.204152
(399.34, 14.02, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.178709
(399.34, 14.02, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.154513
(399.34, 14.02, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.226959
(399.34, 14.02, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.323313
(399.34, 14.02, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.327033
(399.34, 14.02, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.3318
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.082498
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.490762
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.935298
(399.34, 14.02, 246.27) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 8.609653
(399.34, 14.02, 246.27) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 8.587398
(399.34, 14.02, 246.27) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 8.566922
(399.34, 14.02, 246.27) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 8.548208
(399.34, 14.02, 246.27) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 10.27147
(399.34, 14.02, 246.27) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 8.117218
(399.34, 14.02, 246.27) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 8.107163
(399.34, 14.02, 246.27) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 8.09871
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.2221
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.1888
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.26797
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.83018
(399.34, 14.02, 246.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 19.0457
(399.34, 14.02, 246.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 19.02666
(399.34, 14.02, 246.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 19.01136
(399.34, 14.02, 246.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 18.9998
(399.34, 14.02, 246.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 18.99194
(399.34, 14.02, 246.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 18.9878
(399.34, 14.02, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.029039
(399.34, 14.02, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.004244
(399.34, 14.02, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 4.980852
(399.34, 14.02, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 4.95864
(399.34, 14.02, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 4.937582
(399.34, 14.02, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.354645
(399.34, 14.02, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 5.35957
(399.34, 14.02, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.088543
(399.34, 14.02, 246.27) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 8.455227
(399.34, 14.02, 246.27) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 8.069413
(399.34, 14.02, 246.27) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 8.044436
(399.34, 14.02, 246.27) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 8.021172
(399.34, 14.02, 246.27) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 7.999596
(399.34, 14.02, 246.27) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 9.433471
‡ (399.34, 14.02, 246.27) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 8.102524
